Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run All Claim MV,Chrome 70.0.3538.102,,2018-11-27 14:25:58,2018-11-27 14:59:01,33m - 3.811s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - In RO,Chrome 70.0.3538.102,,2018-11-27 14:25:58,2018-11-27 14:37:06,11m - 7.652s,FAILED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:25:59,2018-11-27 14:26:48,48.642s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:26:48,2018-11-27 14:27:30,42.273s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:27:30,2018-11-27 14:28:20,50.303s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:28:20,2018-11-27 14:28:51,30.336s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:28:51,2018-11-27 14:29:45,53.911s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:29:45,2018-11-27 14:37:06,7m - 21.421s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - In Workshop,Chrome 70.0.3538.102,,2018-11-27 14:37:06,2018-11-27 14:48:00,10m - 54.327s,ERROR
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:37:06,2018-11-27 14:37:53,46.853s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:37:53,2018-11-27 14:38:23,30.066s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:38:23,2018-11-27 14:39:11,47.941s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:39:11,2018-11-27 14:39:35,24.399s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:39:35,2018-11-27 14:40:27,51.613s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:40:27,2018-11-27 14:48:00,7m - 33.265s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - Out Workshop,Chrome 70.0.3538.102,,2018-11-27 14:48:00,2018-11-27 14:59:00,11m - 0.049s,FAILED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:48:00,2018-11-27 14:48:28,27.689s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:48:28,2018-11-27 14:49:07,38.559s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:49:07,2018-11-27 14:49:56,48.950s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:49:56,2018-11-27 14:50:38,41.867s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:50:38,2018-11-27 14:51:27,49.397s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 14:51:27,2018-11-27 14:59:00,7m - 33.439s,FAILED
